 lambda     Rad_up_noisy   Rad_up_pure    Rad_up_noise
 621.422    3.62991e-02    3.59792e-02    3.19868e-04
 622.248    3.50684e-02    3.55839e-02   -5.15499e-04
 623.075    3.49204e-02    3.52218e-02   -3.01379e-04
 623.901    3.43239e-02    3.49195e-02   -5.95596e-04
 624.727    3.49316e-02    3.46417e-02    2.89879e-04
 625.554    3.36136e-02    3.43867e-02   -7.73111e-04
 626.380    3.45152e-02    3.41604e-02    3.54784e-04
 627.206    3.38525e-02    3.39573e-02   -1.04810e-04
 628.033    3.42214e-02    3.38031e-02    4.18268e-04
 628.859    3.34260e-02    3.37247e-02   -2.98724e-04
 629.686    3.40221e-02    3.36840e-02    3.38137e-04
 630.512    3.34926e-02    3.36144e-02   -1.21804e-04
 631.338    3.32730e-02    3.35243e-02   -2.51285e-04
 632.164    3.29425e-02    3.35114e-02   -5.68869e-04
 632.991    3.43033e-02    3.36128e-02    6.90482e-04
 633.817    3.42538e-02    3.37272e-02    5.26629e-04
 634.643    3.38597e-02    3.37658e-02    9.39469e-05
 635.470    3.35428e-02    3.37750e-02   -2.32212e-04
 636.296    3.35985e-02    3.38606e-02   -2.62111e-04
 637.122    3.46008e-02    3.40292e-02    5.71576e-04
 637.948    3.37710e-02    3.41493e-02   -3.78285e-04
 638.775    3.44273e-02    3.41067e-02    3.20600e-04
 639.601    3.31910e-02    3.39386e-02   -7.47599e-04
 640.427    3.36881e-02    3.37681e-02   -7.99556e-05
 641.253    3.32939e-02    3.36628e-02   -3.68916e-04
 642.079    3.26155e-02    3.36028e-02   -9.87297e-04
 642.905    3.34524e-02    3.35240e-02   -7.16475e-05
 643.732    3.45687e-02    3.33463e-02    1.22242e-03
 644.558    3.25793e-02    3.30025e-02   -4.23228e-04
 645.384    3.31463e-02    3.25011e-02    6.45210e-04
 646.210    3.22330e-02    3.19683e-02    2.64728e-04
 647.036    3.12208e-02    3.15610e-02   -3.40167e-04
 647.862    3.16138e-02    3.13303e-02    2.83461e-04
 648.688    3.14416e-02    3.12253e-02    2.16277e-04
 649.514    3.10331e-02    3.12133e-02   -1.80201e-04
 650.340    3.12447e-02    3.13104e-02   -6.57104e-05
 651.166    3.14295e-02    3.14833e-02   -5.37939e-05
 651.992    3.14853e-02    3.16243e-02   -1.38982e-04
 652.818    3.16701e-02    3.15927e-02    7.73624e-05
 653.644    3.11793e-02    3.12147e-02   -3.53881e-05
 654.470    3.02999e-02    3.04038e-02   -1.03949e-04
 655.296    2.93989e-02    2.94108e-02   -1.18896e-05
 656.122    2.88321e-02    2.88109e-02    2.12302e-05
 656.948    2.89020e-02    2.90155e-02   -1.13499e-04
 657.774    2.98134e-02    2.98434e-02   -2.99949e-05
 658.599    3.06117e-02    3.07588e-02   -1.47063e-04
 659.425    3.14022e-02    3.14239e-02   -2.16931e-05
 660.251    3.18630e-02    3.18371e-02    2.58710e-05
 661.077    3.20792e-02    3.20886e-02   -9.42223e-06
 661.903    3.22221e-02    3.21956e-02    2.65138e-05
 662.728    3.22100e-02    3.21540e-02    5.60206e-05
 663.554    3.19525e-02    3.20297e-02   -7.71701e-05
 664.380    3.19030e-02    3.19268e-02   -2.37907e-05
 665.206    3.19139e-02    3.18846e-02    2.92971e-05
 666.031    3.19794e-02    3.18655e-02    1.13852e-04
 666.857    3.18517e-02    3.18461e-02    5.57587e-06
 667.683    3.17670e-02    3.18480e-02   -8.09607e-05
 668.508    3.18932e-02    3.18586e-02    3.45800e-05
 669.334    3.18398e-02    3.18127e-02    2.71415e-05
 670.159    3.16891e-02    3.16844e-02    4.70376e-06
 670.985    3.15519e-02    3.15291e-02    2.27880e-05
 671.811    3.14243e-02    3.14157e-02    8.60656e-06
 672.636    3.13528e-02    3.13567e-02   -3.94535e-06
 673.462    3.11500e-02    3.13149e-02   -1.64882e-04
 674.287    3.13402e-02    3.12622e-02    7.79726e-05
 675.113    3.12650e-02    3.12065e-02    5.85248e-05
 675.938    3.12252e-02    3.11580e-02    6.72351e-05
 676.763    3.11039e-02    3.11041e-02   -2.14573e-07
 677.589    3.10045e-02    3.10242e-02   -1.97378e-05
 678.414    3.09181e-02    3.09012e-02    1.68644e-05
 679.239    3.08189e-02    3.07401e-02    7.88411e-05
 680.065    3.05463e-02    3.05751e-02   -2.87510e-05
 680.890    3.04317e-02    3.04348e-02   -3.11508e-06
 681.715    3.02344e-02    3.03146e-02   -8.01635e-05
 682.541    3.02136e-02    3.01816e-02    3.20228e-05
 683.366    3.00386e-02    2.99800e-02    5.85983e-05
 684.191    2.95772e-02    2.96079e-02   -3.06753e-05
 685.016    2.90133e-02    2.89238e-02    8.95404e-05
 685.841    2.78849e-02    2.78967e-02   -1.18250e-05
 686.666    2.68557e-02    2.67765e-02    7.92194e-05
 687.491    2.59953e-02    2.59598e-02    3.54770e-05
 688.316    2.56215e-02    2.56409e-02   -1.94500e-05
 689.141    2.56834e-02    2.57226e-02   -3.92233e-05
 689.966    2.60107e-02    2.60006e-02    1.01378e-05
 690.791    2.63205e-02    2.62811e-02    3.94036e-05
 691.616    2.64217e-02    2.64092e-02    1.25097e-05
 692.441    2.63569e-02    2.63311e-02    2.57786e-05
 693.266    2.61850e-02    2.61344e-02    5.05991e-05
 694.091    2.59869e-02    2.59903e-02   -3.42116e-06
 694.916    2.59862e-02    2.60385e-02   -5.22635e-05
